SETTORE CONCORSUALE,TITOLO,ISSN,NOTE
10/I1,MONOGRAFÍAS DE TRADUCCIÓN E INTERPRETACIÓN,1889-4178,.
10/I1,MONOGRAFÍAS DE TRADUCCIÓN E INTERPRETACIÓN,1989-9335,.
10/I1,NUEVA REVISTA DE FILOLOGIA HISPANICA,0185-0121,.
10/I1,OIHENART,1137-4454,.
10/I1,ORALIA,1575-1430,.
10/I1,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,0030-8129,.
10/I1,QUADERNS DE FILOLOGIA. ESTUDIS LINGÜÍSTICS,1135-416X,.
10/I1,QUADERNS DE FILOLOGIA. ESTUDIS LITERARIS,1135-4178,.
10/I1,RASSEGNA IBERISTICA,0392-4777,.
10/I1,REVISTA CANADIENSE DE ESTUDIOS HISPANICOS,0384-8167,.
10/I1,REVISTA DE CRITICA LITERARIA LATINOAMERICANA,0252-8843,.
10/I1,REVISTA DE ESTUDIOS HISPANICOS,0034-818X,.
10/I1,REVISTA DE FILOLOGÍA ESPAÑOLA,0210-9174,.
10/I1,REVISTA DE HISPANISMO FILOSÓFICO,1136-8071,.
10/I1,REVISTA DE HISTORIA DE LA LENGUA ESPAÑOLA,1886-7081,.
10/I1,REVISTA DE LINGÜÍSTICA Y LENGUAS APLICADAS,1886-2438,.
10/I1,REVISTA DE LITERATURA,0034-849X,.
10/I1,REVISTA DE LITERATURA MEDIEVAL,1130-3611,.
10/I1,REVISTA DE OCCIDENTE,0034-8635,.
10/I1,REVISTA DE POÉTICA MEDIEVAL,1137-8905,.
10/I1,REVISTA ESPAÑOLA DE LINGÜÍSTICA APLICADA,0213-2028,.
10/I1,REVISTA IBEROAMERICANA,0034-9631,.
10/I1,REVISTA INTERNACIONAL DE LINGÜÍSTICA IBEROAMERICANA,1579-9425,.
10/I1,RILCE,0213-2370,.
10/I1,RIVISTA DI FILOLOGIA E LETTERATURE ISPANICHE,1591-2922,.
10/I1,RIVISTA DI STUDI TESTUALI,1593-7259,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/I1,RIVISTA ITALIANA DI STUDI CATALANI,2279-8781,.
10/I1,RLA,0033-698X,.
10/I1,SCRIPTORIUM,0036-9772,.
10/I1,SEFARAD,0037-0894,.
10/I1,SIGNA,1133-3634,.
10/I1,SINTAGMA,0214-9141,.
10/I1,SPAGNA CONTEMPORANEA,1121-7480,.
10/I1,SPANISH IN CONTEXT,1571-0718,.
10/I1,SPECULUM,0038-7134,.
10/I1,STUDI CULTURALI,1824-369X,.
10/I1,STUDI ITALIANI DI LINGUISTICA TEORICA E APPLICATA,0390-6809,.
10/I1,STUDI MEDIEVALI,0391-8467,.
10/I1,STUDI MEDIOLATINI E VOLGARI,0585-4962,.
10/I1,STUDIA AUREA,1988-1088,.
10/I1,TALLER DE LETRAS,0716-0798,.
10/I1,THE JOURNAL OF SPECIALISED TRANSLATION,1740-357X,.
10/I1,ZEITSCHRIFT FUER KATALANISTIK,0932-2221,.
10/L1,ÁCOMA,1122-6218,.
10/L1,ACROSS LANGUAGES AND CULTURES,1585-1923,.
10/L1,ACROSS LANGUAGES AND CULTURES,1588-2519,.
10/L1,AESTHETICA. PRE-PRINT,0393-8522,.
10/L1,AEVUM,0001-9593,.
10/L1,ALLEGORIA,1122-1887,.
10/L1,ALTRE MODERNITÀ,2035-7680,.
10/L1,AMERICAN IMAGO,0065-860X,.
10/L1,AMERICAN IMAGO,1085-7931,.
10/L1,AMERICAN LITERARY HISTORY,0896-7148,.
10/L1,AMERICAN LITERARY HISTORY,1468-4365,.
10/L1,AMERICAN LITERATURE,0002-9831,.
10/L1,ANGLISTICA AION AN INTERDISCIPLINARY JOURNAL,2035-8504,.
10/L1,ANNALI DELLA FACOLTÀ DI LINGUE E LETTERATURE STRANIERE DI CA' FOSCARI,0390-5837,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/L1,ANNALI DI CA' FOSCARI,1125-3762,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/L1,APPLIED LINGUISTICS,0142-6001,.
10/L1,APPLIED LINGUISTICS,1477-450X,.
10/L1,ARIEL,0004-1327,.
10/L1,ARIEL,1920-1222,.
10/L1,BELFAGOR,0005-8351,In Classe A fino al 31.12.2017 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/L1,BIBLIOTECA TEATRALE,0045-1959,.
10/L1,BOUNDARY 2,0190-3659,.
10/L1,BOUNDARY 2,1527-2141,.
10/L1,BRONTE STUDIES,1474-8932,.
10/L1,CAHIERS ELISABÉTHAINS,0184-7678,.
10/L1,COMPARATIVE LITERATURE STUDIES,0010-4132,.
10/L1,COMPARATIVE LITERATURE STUDIES,1528-4212,.
10/L1,COMPUTATIONAL LINGUISTICS,0891-2017,.
10/L1,COMPUTATIONAL LINGUISTICS,1530-9312,.
10/L1,CONTEMPORARY LITERATURE,0010-7484,.
10/L1,CONTEMPORARY LITERATURE,1548-9949,.
10/L1,CRITICA DEL TESTO,1127-1140,.
10/L1,CRITICAL DISCOURSE STUDIES,1740-5904,.
10/L1,CRITICAL DISCOURSE STUDIES,1740-5912,.
10/L1,CRITICAL INQUIRY,0093-1896,.
10/L1,CRITICAL SURVEY,0011-1570,.
10/L1,CRITICAL SURVEY,1752-2293,.
10/L1,CROCEVIA,.,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/L1,CULTURA TEDESCA,1720-514X,.
10/L1,CULTUS,2035-2948,.
10/L1,CULTUS,2035-3111,.
10/L1,CURRENT ISSUES IN LANGUAGE PLANNING,1466-4208,.
10/L1,CURRENT ISSUES IN LANGUAGE PLANNING,1747-7506,.
10/L1,DEREKH. JUDAICA URBINATENSIA,.,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/L1,DICKENS QUARTERLY,0742-5473,.
10/L1,DICKENS QUARTERLY,2169-5377,.
10/L1,DISCOURSE & SOCIETY,0957-9265,.
10/L1,DISCOURSE STUDIES,1461-4456,.
10/L1,EARLY AMERICAN LITERATURE,0012-8163,.
10/L1,EARLY AMERICAN LITERATURE,1534-147X,.
10/L1,EDINBURGH REVIEW,0267-6672,.
10/L1,EIGHTEENTH-CENTURY FICTION,0840-6286,.
10/L1,ELEPHANT & CASTLE,1826-6118,.
10/L1,ELH,0013-8304,.
10/L1,ELH - ENGLISH LITERARY HISTORY,1080-6547,.
10/L1,ELT JOURNAL,0951-0893,.
10/L1,ENGLISH FOR SPECIFIC PURPOSES,0889-4906,.
10/L1,ENGLISH IN AFRICA,0376-8902,.
10/L1,ENGLISH LANGUAGE AND LINGUISTICS,1360-6743,.
10/L1,ENGLISH STUDIES,0013-838X,.
10/L1,ENGLISH STUDIES,1744-4217,.
10/L1,ENGLISH WORLD-WIDE,0172-8865,.
10/L1,ESP ACROSS CULTURES,1972-8247,.
10/L1,ESSAYS IN CRITICISM,0014-0856,.
10/L1,ESSAYS IN CRITICISM,1471-6852,.
10/L1,EUROPEAN JOURNAL OF ENGLISH STUDIES,1382-5577,.
10/L1,EUROPEAN REVIEW,1062-7987,.
10/L1,EUROPEAN ROMANTIC REVIEW,1050-9585,.
10/L1,EUROPEAN ROMANTIC REVIEW,1740-4657,.
10/L1,EXTRAPOLATION,0014-5483,.
10/L1,FEMINIST REVIEW,0141-7789,.
10/L1,FEMINIST THEORY,1464-7001,.
10/L1,FICTIONS,1721-3673,.
10/L1,FRANCOFONIA,1121-953X,.
10/L1,FUNCTIONS OF LANGUAGE,0929-998X,.
10/L1,GENETIC JOYCE STUDIES,2031-9002,.
10/L1,GENRE,0016-6928,.
10/L1,GIORNALE STORICO DELLA LETTERATURA ITALIANA,0017-0496,.
10/L1,GOTHIC STUDIES,1362-7937,.
10/L1,HERMES,0904-1699,.
10/L1,HERMES. JOURNAL OF LANGUAGE AND COMMUNICATION IN BUSINESS,1903-1785,.
10/L1,IL CASTELLO DI ELSINORE,0394-9389,.
10/L1,IL CONFRONTO LETTERARIO,0394-994X,.
10/L1,IL LETTORE DI PROVINCIA,0024-1350,.
10/L1,IL MULINO,0027-3120,.
10/L1,INTERDISCIPLINARY STUDIES IN LITERATURE AND ENVIRONMENT,1076-0962,.
10/L1,INTERNATIONAL JOURNAL OF CORPUS LINGUISTICS,1384-6655,.
10/L1,INTERNATIONAL JOURNAL OF CORPUS LINGUISTICS,1569-9811,.
10/L1,INTERPRETING,1384-6647,.
10/L1,INTERPRETING,1569-982X,.
10/L1,INTERSEZIONI,0393-2451,.
10/L1,INTERVENTIONS,1369-801X,.
10/L1,INTERVENTIONS. INTERNATIONAL JOURNAL OF POSTCOLONIAL STUDIES,1469-929X,.
10/L1,JAMES JOYCE QUARTERLY,0021-4183,.
10/L1,JE-LKS. JOURNAL OF E-LEARNING AND KNOWLEDGE SOCIETY,1971-8829,.
10/L1,JOURNAL FOR EIGHTEENTH-CENTURY STUDIES,1754-0194,.
10/L1,JOURNAL OF AUSTRALIAN STUDIES,1444-3058,.
10/L1,JOURNAL OF AUSTRALIAN STUDIES,1835-6419,.
10/L1,JOURNAL OF CONTEMPORARY DRAMA IN ENGLISH,2195-0164,.
10/L1,JOURNAL OF ENGLISH AS A LINGUA FRANCA,2191-933X,.
10/L1,JOURNAL OF ENGLISH FOR ACADEMIC PURPOSES,1475-1585,.
10/L1,JOURNAL OF ENGLISH LINGUISTICS,0075-4242,.
10/L1,JOURNAL OF NARRATIVE THEORY,1548-9248,.
10/L1,JOURNAL OF NARRATIVE THEORY,1549-0815,.
10/L1,JOURNAL OF POSTCOLONIAL WRITING,1744-9855,.
10/L1,JOURNAL OF POSTCOLONIAL WRITING,1744-9863,.
10/L1,JOURNAL OF PRAGMATICS,0378-2166,.
10/L1,JOURNAL OF PRAGMATICS,1879-1387,.
10/L1,JOURNAL OF SECOND LANGUAGE WRITING,1060-3743,.
10/L1,JOURNAL OF STEVENSON STUDIES,1744-3857,.
10/L1,JOURNAL OF VICTORIAN CULTURE,1355-5502,.
10/L1,JOURNAL OF VICTORIAN CULTURE,1750-0133,.
10/L1,JOYCE STUDIES IN ITALY,2281-373X,.
10/L1,LA QUESTIONE ROMANTICA,1125-0364,.
10/L1,LA VALLE DELL'EDEN,1970-6391,.
10/L1,L'ANALISI LINGUISTICA E LETTERARIA,1122-1917,.
10/L1,LANGUAGE AND LITERATURE,0963-9470,.
10/L1,LANGUAGE LEARNING,0023-8333,.
10/L1,LANGUAGE LEARNING & TECHNOLOGY,1094-3501,.
10/L1,LANGUAGE POLICY,1568-4555,.
10/L1,LANGUAGE POLICY,1573-1863,.
10/L1,LANGUAGE TEACHING,0261-4448,.
10/L1,LANGUAGE TEACHING RESEARCH,1362-1688,.
10/L1,LANGUAGE VARIATION AND CHANGE,0954-3945,.
10/L1,LANGUAGES IN CONTRAST,1387-6759,.
10/L1,LANGUAGES IN CONTRAST,1569-9897,.
10/L1,LE SIMPLEGADI,1824-5226,.
10/L1,LEND. LINGUA E NUOVA DIDATTICA,1121-5291,.
10/L1,LETTERATURA E LETTERATURE,1971-906X,.
10/L1,LETTERATURE D'AMERICA,1125-1743,.
10/L1,L'IMMAGINE RIFLESSA,0391-2973,.
10/L1,LINGUE E LINGUAGGI,2239-0359,.
10/L1,LINGUE E LINGUAGGI,2239-0367,.
10/L1,L'OSPITE INGRATO,1590-5608,.
10/L1,MELUS,0163-755X,.
10/L1,MEMORIA DI SHAKESPEARE,2281-3055,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/L1,MEN AND MASCULINITIES,1097-184X,.
10/L1,META,0026-0452,.
10/L1,META,1492-1421,.
10/L1,METAPHOR AND SYMBOL,1092-6488,.
10/L1,MFS - MODERN FICTION STUDIES,0026-7724,.
10/L1,MODERN LANGUAGE QUARTERLY,0026-7929,.
10/L1,MODERN LANGUAGE REVIEW,0026-7937,.
10/L1,MODERNA,1128-6326,.
10/L1,MULTIMODAL COMMUNICATION,2230-6579,.
10/L1,MULTIMODAL COMMUNICATION,2230-6587,.
10/L1,NARRATIVE,1063-3685,.
10/L1,NARRATIVE,1538-974X,.
10/L1,NEOPHILOLOGUS,0028-2677,.
10/L1,NEOPHILOLOGUS,1572-8668,.
10/L1,NEW LITERARY HISTORY,0028-6087,.
10/L1,NEW LITERARY HISTORY,1080-661X,.
10/L1,NINETEENTH-CENTURY LITERATURE,0891-9356,.
10/L1,NINETEENTH-CENTURY LITERATURE,1067-8352,.
10/L1,NOTES AND QUERIES,0029-3970,.
10/L1,NOVEL,0029-5132,.
10/L1,NUOVA CORRENTE,0029-6155,.
10/L1,NUOVA CORRENTE,1825-6554,.
10/L1,PERSPECTIVES,0907-676X,.
10/L1,PERSPECTIVES: STUDIES IN TRANSLATOLOGY,1747-6623,.
10/L1,PHILOLOGICAL QUARTERLY,0031-7977,.
10/L1,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,0030-8129,.
10/L1,POETICS,0304-422X,.
10/L1,POETICS TODAY,0333-5372,.
10/L1,PÓLEMOS,2035-5262,.
10/L1,PÓLEMOS,2036-4601,.
10/L1,RASSEGNA ITALIANA DI LINGUISTICA APPLICATA,0033-9725,.
10/L1,RECALL,0958-3440,.
10/L1,RENAISSANCE QUARTERLY,0034-4338,.
10/L1,RENAISSANCE QUARTERLY,1935-0236,.
10/L1,RENAISSANCE STUDIES,0269-1213,.
10/L1,REVUE FRANÇAISE DE LINGUISTIQUE APPLIQUÉE,1386-1204,.
10/L1,REVUE FRANÇAISE DE LINGUISTIQUE APPLIQUÉE,1875-368X,.
10/L1,REVUE FRANCAISE D'ETUDES AMERICAINES,0397-7870,.
10/L1,RIVISTA DI LETTERATURA ITALIANA,0392-825X,.
10/L1,RIVISTA DI LETTERATURE MODERNE E COMPARATE,0391-2108,.
10/L1,RIVISTA STORICA ITALIANA,0035-7073,.
10/L1,ROMÀNIA ORIENTALE,1121-4015,.
10/L1,RSV. RIVISTA DI STUDI VITTORIANI,1128-2290,.
10/L1,SCIENCE-FICTION STUDIES,0091-7729,.
10/L1,SECOND LANGUAGE RESEARCH,0267-6583,.
10/L1,SEMICERCHIO,1123-4075,.
10/L1,SHAKESPEARE,1745-0918,.
10/L1,SHAKESPEARE,1745-0926,.
10/L1,SHAKESPEARE QUARTERLY,0037-3222,.
10/L1,SHAKESPEARE YEARBOOK,1045-9456,.
10/L1,STRUMENTI CRITICI,0039-2618,.
10/L1,STUDI COMPARATISTICI,1974-157X,.
10/L1,STUDI CULTURALI,1824-369X,.
10/L1,STUDI FRANCESI,0039-2944,.
10/L1,STUDI ITALIANI DI LINGUISTICA TEORICA E APPLICATA,0390-6809,.
10/L1,STUDIES IN AMERICAN INDIAN LITERATURES,0730-3238,.
10/L1,STUDIES IN AMERICAN INDIAN LITERATURES,1548-9590,.
10/L1,"STUDIES IN ENGLISH LITERATURE, 1500-1900",0039-3657,.
10/L1,STUDIES IN PHILOLOGY,0039-3738,.
10/L1,STUDIES IN ROMANTICISM,0039-3762,.
10/L1,STUDIES IN SCOTTISH LITERATURE,0039-3770,.
10/L1,STUDIES IN THE NOVEL,0039-3827,.
10/L1,STUDIES IN TRAVEL WRITING,1364-5145,.
10/L1,STUDIES IN TRAVEL WRITING,1755-7550,.
10/L1,STYLE,0039-4238,.
10/L1,SUB-STANCE,0049-2426,.
10/L1,SYSTEM,0346-251X,.
10/L1,TESTO A FRONTE,1128-238X,.
10/L1,TEXT & TALK,1860-7330,.
10/L1,TEXT & TALK,1860-7349,.
10/L1,TEXTUAL PRACTICE,0950-236X,.
10/L1,TEXTUAL PRACTICE,1470-1308,.
10/L1,TEXTUS,0082-3767,In Classe A fino al 31.12.2017 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/L1,TEXTUS,1824-3967,.
10/L1,THE BEN JONSON JOURNAL,1079-3453,.
10/L1,THE DALHOUSIE REVIEW,0011-5827,.
10/L1,THE HENRY JAMES REVIEW,0273-0340,.
10/L1,THE HENRY JAMES REVIEW,1080-6555,.
10/L1,THE HUNTINGTON LIBRARY QUARTERLY,0018-7895,.
10/L1,THE HUNTINGTON LIBRARY QUARTERLY,1544-399X,.
10/L1,THE INTERPRETER AND TRANSLATOR TRAINER,1750-399X,.
10/L1,THE INTERPRETER AND TRANSLATOR TRAINER,1757-0417,.
10/L1,THE JOURNAL OF CONTEMPORARY LITERATURE,.,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/L1,THE JOURNAL OF ENGLISH AND GERMANIC PHILOLOGY,0363-6941,.
10/L1,THE JOURNAL OF ENGLISH AND GERMANIC PHILOLOGY,1945-662X,.
10/L1,THE JOURNAL OF SPECIALISED TRANSLATION,1740-357X,.
10/L1,THE TRANSLATOR,1757-0409,.
10/L1,THE WALLACE STEVENS JOURNAL,0148-7132,.
10/L1,THE YALE REVIEW,0044-0124,.
10/L1,THE YEARBOOK OF ENGLISH STUDIES,0306-2473,.
10/L1,THEATRE JOURNAL,0192-2882,.
10/L1,THOMAS HARDY JOURNAL,0268-5418,.
10/L1,TLS. TIMES LITERARY SUPPLEMENT,0307-661X,.
10/L1,TRANS. INTERNET-ZEITSCHRIFT FÜR KULTURWISSENSCHAFTEN,1560-182X,.
10/L1,TRANSLATION AND INTERPRETING STUDIES,1932-2798,.
10/L1,TRANSLATION AND LITERATURE,0968-1361,.
10/L1,TRANSLATION STUDIES,1478-1700,.
10/L1,TRANSLATION STUDIES,1751-2921,.
10/L1,TRANSLATOR,1355-6509,.
10/L1,VICTORIAN LITERATURE AND CULTURE,1060-1503,.
10/L1,VICTORIAN LITERATURE AND CULTURE,1470-1553,.
10/L1,VICTORIAN POETRY,0042-5206,.
10/L1,VICTORIAN STUDIES,0042-5222,.
10/L1,VICTORIAN STUDIES,1527-2052,.
10/L1,WOMEN'S WRITING,0969-9082,.
10/L1,WORDSWORTH CIRCLE,0043-8006,.
10/L1,WORLD ENGLISHES,0883-2919,.
10/L1,WORLD ENGLISHES,1467-971X,.
10/L1,WRITTEN COMMUNICATION,0741-0883,.
10/L1,ZONEMODA JOURNAL,2283-7043,.
10/M1,A.I.O.N. ANNALI DELL'ISTITUTO UNIVERSITARIO ORIENTALE DI NAPOLI. DIPARTIMENTO DI STUDI DEL MONDO CLASSICO E DEL MEDITERRANEO ANTICO. SEZIONE FILOLOGICO-LETTERARIA,1724-6172,.
10/M1,A.I.O.N. ANNALI DELL'ISTITUTO UNIVERSITARIO ORIENTALE DI NAPOLI. DIPARTIMENTO DI STUDI DEL MONDO CLASSICO E DEL MEDITERRANEO ANTICO. SEZIONE FILOLOGICO-LETTERARIA. QUADERNI,1128-7217,.
10/M1,AEVUM ANTIQUUM,1121-8932,.
10/M1,AION ANNALI DELL'ISTITUTO UNIVERSITARIO ORIENTALE DI NAPOLI. DIPARTIMENTO DI STUDI DEL MONDO CLASSICO E DEL MEDITERRANEO ANTICO. SEZIONE FILOLOGICO-LETTERARIA,1128-7209,.
10/M1,AKZENTE,0002-3957,.
10/M1,ALTRE MODERNITÀ,2035-7680,.
10/M1,AMSTERDAMER BEITRAGE ZUR ALTEREN GERMANISTIK,0165-7305,.
10/M1,AMSTERDAMER BEITRAGE ZUR NEUEREN GERMANISTIK,0304-6257,.
10/M1,ANGLIA,0340-5222,.
10/M1,ANGLO-SAXON ENGLAND,0263-6751,.
10/M1,ANGLO-SAXON ENGLAND,1474-0532,.
10/M1,ANNALI - ISTITUTO UNIVERSITARIO ORIENTALE. SEZIONE GERMANICA,1124-3724,.
10/M1,ANNALI DELLA SCUOLA NORMALE SUPERIORE DI PISA. CLASSE DI LETTERE E FILOSOFIA,0392-095X,.
10/M1,ANNALI DELL'ISTITUTO STORICO ITALO-GERMANICO IN TRENTO,0392-0011,.
10/M1,ANNALI DI CA' FOSCARI,1125-3762,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/M1,APPLIED LINGUISTICS,0142-6001,.
10/M1,APPLIED LINGUISTICS,1477-450X,.
10/M1,ARCADIA,0003-7982,.
10/M1,ARCO-JOURNAL,.,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/M1,ARKIV FOR NORDISK FILOLOGI,0066-7668,.
10/M1,ATHENAEUM,0004-6574,.
10/M1,AUFKLÄRUNG,0178-7128,.
10/M1,AUSTRIAN STUDIES,1350-7532,.
10/M1,BABEL,0521-9744,.
10/M1,BEITRÄGE ZUR FREMDSPRACHENVERMITTLUNG,1861-3950,.
10/M1,BEITRÄGE ZUR GESCHICHTE DER DEUTSCHEN SPRACHE UND LITERATUR,0005-8076,.
10/M1,BELFAGOR,0005-8351,In Classe A fino al 31.12.2017 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/M1,BILINGUALISM,1366-7289,.
10/M1,BLÄTTER DER RILKE-GESELLSCHAFT,1010-3597,.
10/M1,"BULLETIN OF THE JOHN RYLANDS LIBRARY, MANCHESTER",0021-7239,.
10/M1,COLLOQUIA GERMANICA,0010-1338,.
10/M1,COMPARATIO. ZEITSCHRIFT FÜR VERGLEICHENDE LITERATURWISSENSCHAFT,1867-7762,.
10/M1,COMPARATISTICA,1120-7094,.
10/M1,COMPUTATIONAL LINGUISTICS,0891-2017,.
10/M1,COMPUTATIONAL LINGUISTICS,1530-9312,.
10/M1,COMUNICARE,1827-0905,.
10/M1,CRITICA DEL TESTO,1127-1140,.
10/M1,CROCEVIA,1972-0971,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/M1,CULTURA TEDESCA,1720-514X,.
10/M1,DANCE RESEARCH,0264-2875,.
10/M1,DANSKE STUDIER,0106-4525,.
10/M1,DAPHNIS,0300-693X,.
10/M1,DER SPRACHDIENST,0038-8459,.
10/M1,DEREKH. JUDAICA URBINATENSIA,.,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/M1,DEUTSCH ALS FREMDSPRACHE,0011-9741,.
10/M1,DEUTSCHE SPRACHE,0340-9341,.
10/M1,DEUTSCHE VIERTELJAHRSSCHRIFT FUER LITERATURWISSENSCHAFT UND GEISTESGESCHICHTE,0012-0936,.
10/M1,DEUTSCHES ARCHIV FÜR ERFORSCHUNG DES MITTELALTERS,0012-1223,.
10/M1,DEUTSCHUNTERRICHT,0340-2258,.
10/M1,DIE SPRACHE,0376-401X,.
10/M1,DIEGESIS,2195-2116,.
10/M1,DUTCH CROSSING,0309-6564,.
10/M1,DUTCH CROSSING,1759-7854,.
10/M1,EDITIO,0931-3079,.
10/M1,EDITIO,1865-9446,.
10/M1,ELEPHANT & CASTLE,1826-6118,.
10/M1,ESTUDIOS NIETZSCHE,1578-6676,.
10/M1,ETUDES GERMANIQUES,0014-2115,.
10/M1,EUPHORION,0014-2328,.
10/M1,EXIL,0721-6742,.
10/M1,FACHSPRACHE,1017-3285,.
10/M1,FIGURATIONEN,1439-4367,.
10/M1,FIGURATIONEN,2194-363X,.
10/M1,FILOLOGIA GERMANICA,2036-8992,.
10/M1,FRANCOFONIA,1121-953X,.
10/M1,FREMDSPRACHE DEUTSCH,0937-3160,.
10/M1,GEGENWARTSLITERATUR. A GERMAN STUDIES YEARBOOK,1617-8491,.
10/M1,GEORG-BÜCHNER-JAHRBUCH,0722-3420,.
10/M1,GERMAN AS A FOREIGN LANGUAGE,1470-9570,.
10/M1,GERMAN LIFE AND LETTERS,0016-8777,.
10/M1,GERMAN LIFE AND LETTERS,1468-0483,.
10/M1,GERMANISCH-ROMANISCHE MONATSSCHRIFT,0016-8904,.
10/M1,GERMANISTISCHE MITTEILUNGEN,0771-3703,.
10/M1,GERMANOSLAVICA,1210-9029,.
10/M1,GESPRÄCHSFORSCHUNG,1617-1837,.
10/M1,GLOTTODIDACTICA. AN INTERNATIONAL JOURNAL OF APPLIED LINGUISTICS,0072-4769,.
10/M1,GOETHE-JAHRBUCH,0323-4207,.
10/M1,GRIPLA,1018-5011,.
10/M1,HEILBRONNER KLEIST-BLÄTTER,.,In Classe A fino al 31.12.2017 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/M1,HEINE-JAHRBUCH,0073-1692,.
10/M1,HEINRICH-MANN-JAHRBUCH,0176-3318,.
10/M1,HERMANN HESSE-JAHRBUCH,1865-8903,.
10/M1,HERMANN-HESSE-JAHRBUCH,1614-1423,.
10/M1,HOCHSCHULE UND WEITERBILDUNG,0174-5859,.
10/M1,HÖLDERLIN-JAHRBUCH,0340-6849,.
10/M1,IASL ONLINE,1612-0442,.
10/M1,IL CONFRONTO LETTERARIO,0394-994X,.
10/M1,IL VELTRO,0042-3254,.
10/M1,INFO DAF. INFORMATIONEN DEUTSCH ALS FREMDSPRACHE,0724-9616,.
10/M1,INSERTO DIDATTICO DI BABYLONIA,1420-1658,.
10/M1,INTERNATIONAL JOURNAL OF BILINGUAL EDUCATION AND BILINGUALISM,1367-0050,.
10/M1,INTERNATIONAL JOURNAL OF INNOVATIVE INTERDISCIPLINARY RESEARCH,1839-9053,.
10/M1,INTERNATIONAL JOURNAL OF LEXICOGRAPHY,0950-3846,.
10/M1,INTERNATIONAL YEARBOOK OF FUTURISM STUDIES,2192-0281,.
10/M1,INTERNATIONALES ARCHIV FUER SOZIALGESCHICHTE DER DEUTSCHEN LITERATUR,0340-4528,.
10/M1,INTERNATIONALES ARCHIV FÜR SOZIALGESCHICHTE DER DEUTSCHEN LITERATUR,1865-9128,.
10/M1,INTERSEZIONI,0393-2451,.
10/M1,INTRALINEA ON LINE TRANSLATION JOURNAL,1827-000X,.
10/M1,INVERBIS,2279-8978,.
10/M1,JAHRBUCH DER BRÜDER-GRIMM-GESELLSCHAFT,0941-1879,.
10/M1,JAHRBUCH DER DEUTSCHEN SCHILLERGESELLSCHAFT,0070-4318,.
10/M1,JAHRBUCH DER GRILLPARZER-GESELLSCHAFT,1022-744X,.
10/M1,JAHRBUCH DES FREIEN DEUTSCHEN HOCHSTIFTS,0071-9463,.
10/M1,JAHRBUCH DEUTSCH ALS FREMDSPRACHE,0342-6300,.
10/M1,JAHRBUCH FÜR EUROPÄISCHE ETHNOLOGIE,1868-131X,.
10/M1,JAHRBUCH FÜR INTERNATIONALE GERMANISTIK,0449-5233,.
10/M1,JELINEK[JAHR]BUCH,2078-5917,.
10/M1,JOURNAL OF LITERARY THEORY,1862-5290,.
10/M1,JOURNAL OF LITERARY THEORY,1862-8990,.
10/M1,JOURNAL OF SEMANTICS,0167-5133,.
10/M1,KANT E-PRINTS,1677-163X,.
10/M1,KULTURPOETIK,1616-1203,.
10/M1,LA PAROLA DEL TESTO,1125-6486,.
10/M1,L'ANALISI LINGUISTICA E LETTERARIA,1122-1917,.
10/M1,LANGUAGE,0097-8507,.
10/M1,LANGUAGE LEARNING,0023-8333,.
10/M1,LANGUAGE LEARNING,1467-9922,.
10/M1,LANGUAGE LEARNING & TECHNOLOGY,1094-3501,.
10/M1,LANGUAGE TEACHING RESEARCH,1362-1688,.
10/M1,LANGUAGE VARIATION AND CHANGE,0954-3945,.
10/M1,LEBENDE SPRACHEN,0023-9909,.
10/M1,LEBENDE SPRACHEN,1868-0267,.
10/M1,LEEDS STUDIES IN ENGLISH,0075-8566,.
10/M1,LEND. LINGUA E NUOVA DIDATTICA,1121-5291,.
10/M1,LEXICOGRAPHICA,0175-6206,.
10/M1,LEXICOGRAPHICA,1865-9403,.
10/M1,LILI. ZEITSCHRIFT FUER LITERATURWISSENSCHAFT UND LINGUISTIK,0049-8653,.
10/M1,L'IMMAGINE RIFLESSA,0391-2973,.
