TITOLO,ISSN,NOTE
MAASTRICHT JOURNAL OF EUROPEAN AND COMPARATIVE LAW,1023-263X,.
MASSIMARIO DI GIURISPRUDENZA DEL LAVORO,0025-4959,.
MATERIALI PER UNA STORIA DELLA CULTURA GIURIDICA,1120-9607,.
MAX PLANCK YEARBOOK OF UNITED NATIONS LAW,1389-4633,.
MERCATO CONCORRENZA REGOLE,1590-5128,.
MICHIGAN LAW REVIEW,0026-2234,.
MONATSSCHRIFT FUER KRIMINOLOGIE UND STRAFRECHTSREFORM,0026-9301,.
MUNUS,2240-4732,.
NETHERLANDS YEARBOOK OF INTERNATIONAL LAW,0167-6768,.
NEUE JURISTISCHE WOCHENSCHRIFT,0341-1907,.
NEUE ZEITSCHRIFT FÜR FAMILIENRECHT,2198-2333,.
NEW YORK UNIVERSITY JOURNAL OF INTERNATIONAL LAW & POLITICS,0028-7873,.
NOMOS,2279-7238,.
NORTHWESTERN JOURNAL OF INTERNATIONAL LAW & BUSINESS,0196-3228,.
NOTIZIE DI POLITEIA,1128-2401,.
OSSERVATORIO DEL DIRITTO CIVILE E COMMERCIALE,2281-2628,.
OSSERVATORIO SULLE FONTI,2038-5633,.
OXFORD JOURNAL OF LEGAL STUDIES,0143-6503,.
PERCORSI COSTITUZIONALI,1974-1928,.
PERSONA Y DERECHO,0211-4526,.
PHILOSOPHY AND PUBLIC AFFAIRS,1088-4963,.
PÓLEMOS,2035-5262,.
POLITICA DEL DIRITTO,0032-3063,.
POUVOIRS,0152-0768,.
PUBLIC LAW,0033-3565,.
QUADERNI COSTITUZIONALI,0392-6664,.
QUADERNI DI DIRITTO E POLITICA ECCLESIASTICA,1122-0392,.
QUADERNI FIORENTINI PER LA STORIA DEL PENSIERO GIURIDICO MODERNO,0392-1867,.
RABELS ZEITSCHRIFT FÜR AUSLÄNDISCHES UND INTERNATIONALES PRIVATRECHT,0033-7250,.
RAGION PRATICA,1720-2396,.
RASSEGNA DI DIRITTO CIVILE,0393-182X,.
RASSEGNA PARLAMENTARE,0486-0373,.
RASSEGNA TRIBUTARIA,1590-749X,.
RATIO JURIS,0952-1917,.
RECHTSGESCHICHTE,1619-4993,.
RECHTSGESCHICHTE,2195-9617,.
RECHTSTHEORIE,0034-1398,.
RECUEIL DALLOZ,1760-785X,.
RESPONSABILITÀ CIVILE E PREVIDENZA,0391-187X,.
RESPONSABILITÉ CIVILE ET ASSURANCES,0995-208X,.
REVISTA CATALANA DE DRET PÚBLIC,1885-5709,.
REVISTA DE ADMINISTRACIÓN PÚBLICA (MADRID),0034-7639,.
REVISTA DE ADMINISTRACIÓN PÚBLICA (UNAM),0482-5209,.
REVISTA DE DERECHO COMUNITARIO EUROPEO,1138-4026,.
REVISTA DE DERECHO PROCESAL,0213-1137,.
REVISTA DE PROCESSO,0100-1981,.
REVISTA ESPANOLA DE DERECHO ADMINISTRATIVO,0210-8461,.
REVISTA ESPAÑOLA DE DERECHO CANÓNICO,0034-9372,.
REVISTA EUROPEA DE DERECHO DE LA NAVEGACIÓN MARÍTIMA Y AERONÁUTICA,1130-2127,.
REVISTA GENERAL DE DERECHO CANÓNICO Y DERECHO ECLESIÁSTICO DEL ESTADO,1696-9669,.
REVISTA GENERAL DE DERECHO PÚBLICO COMPARADO,1988-5091,.
REVUE BELGE DE DROIT INTERNATIONAL,0035-0788,.
REVUE CRITIQUE DE DROIT INTERNATIONAL PRIVE,0035-0958,.
REVUE DE DROIT CANONIQUE,0556-7378,.
REVUE DE DROIT DU TRAVAIL,1951-0152,.
REVUE DE DROIT FISCAL,1279-8436,.
REVUE DE DROIT PENAL ET DE CRIMINOLOGIE,0035-4384,.
REVUE DE L'ARBITRAGE,0556-7440,.
REVUE DE SCIENCE CRIMINELLE ET DE DROIT PÉNAL COMPARÉ,0035-1733,.
REVUE DES CONTRATS,1763-5594,.
REVUE DES SOCIÉTÉS,0242-5424,.
REVUE D'HISTOIRE DES FACULTÉS DE DROIT ET DE LA SCIENCE JURIDIQUE,0989-7925,.
REVUE DU DROIT PUBLIC ET DE LA SCIENCE POLITIQUE EN FRANCE ET À L'ÉTRANGER,0035-2578,.
REVUE EUROPÉENNE DE DROIT DE LA CONSOMMATION,0775-3209,.
REVUE FRANCAISE DE DROIT ADMINISTRATIF,0763-1219,.
REVUE FRANÇAISE DE DROIT CONSTITUTIONNEL,1151-2385,.
REVUE GÉNÉRALE DE DROIT INTERNATIONAL PUBLIC,0373-6156,.
REVUE HISTORIQUE DE DROIT FRANÇAIS ET ÉTRANGER,0035-3280,.
REVUE INTERNATIONALE DE CRIMINOLOGIE ET DE POLICE TECHNIQUE ET SCIENTIFIQUE,1424-4683,.
REVUE INTERNATIONALE DE DROIT COMPARÉ,0035-3337,.
REVUE INTERNATIONALE DE DROIT ECONOMIQUE,1010-8831,.
REVUE INTERNATIONALE DE DROIT PENAL,0223-5404,.
REVUE INTERNATIONALE DES DROITS DE L'ANTIQUITÉ,0772-9235,.
REVUE TRIMESTRIELLE DE DROIT CIVIL,0397-9873,.
REVUE TRIMESTRIELLE DE DROIT COMMERCIAL ET DE DROIT ÉCONOMIQUE,0244-9358,.
REVUE TRIMESTRIELLE DE DROIT EUROPÉEN,0035-4317,.
REVUE TRIMESTRIELLE DES DROITS DE L'HOMME,0777-3579,.
RIVISTA AIC,2039-8298,.
RIVISTA CRITICA DEL DIRITTO PRIVATO,1123-1025,.
RIVISTA DEL DIRITTO COMMERCIALE E DEL DIRITTO GENERALE DELLE OBBLIGAZIONI,0035-5887,.
RIVISTA DEL DIRITTO DELLA NAVIGAZIONE,0035-5895,.
RIVISTA DEL DIRITTO DELLA SICUREZZA SOCIALE,1720-562X,.
RIVISTA DELL'ARBITRATO,1122-0147,.
RIVISTA DELLE SOCIETA',0035-6018,.
RIVISTA DI DIRITTO AGRARIO,0391-8696,.
RIVISTA DI DIRITTO ALIMENTARE,1973-3593,.
RIVISTA DI DIRITTO CIVILE,0035-6093,.
RIVISTA DI DIRITTO COSTITUZIONALE,1128-7667,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
RIVISTA DI DIRITTO DELL'IMPRESA,1593-9502,.
RIVISTA DI DIRITTO FINANZIARIO E SCIENZA DELLE FINANZE,0035-6131,.
RIVISTA DI DIRITTO INDUSTRIALE,0035-614X,.
RIVISTA DI DIRITTO INTERNAZIONALE,0035-6158,.
RIVISTA DI DIRITTO INTERNAZIONALE PRIVATO E PROCESSUALE,0035-6174,.
RIVISTA DI DIRITTO PRIVATO,1128-2142,.
RIVISTA DI DIRITTO PROCESSUALE,0035-6182,.
RIVISTA DI DIRITTO SOCIETARIO,1972-9243,.
RIVISTA DI DIRITTO TRIBUTARIO,1121-4074,.
RIVISTA DI DIRITTO TRIBUTARIO INTERNAZIONALE,1824-1476,.
RIVISTA DI FILOSOFIA DEL DIRITTO,2280-482X,.
RIVISTA DI STORIA DEL DIRITTO ITALIANO,0390-6744,.
RIVISTA GIURIDICA DEL LAVORO E DELLA PREVIDENZA SOCIALE,0392-7229,.
RIVISTA INTERNAZIONALE DI DIRITTO COMUNE,1120-5695,.
RIVISTA ITALIANA DI DIRITTO DEL LAVORO,0393-2494,.
RIVISTA ITALIANA DI DIRITTO E PROCEDURA PENALE,0557-1391,.
RIVISTA ITALIANA DI DIRITTO PUBBLICO COMUNITARIO,1121-404X,.
RIVISTA ITALIANA DI MEDICINA LEGALE,1124-3376,.
RIVISTA TRIMESTRALE DI DIRITTO E PROCEDURA CIVILE,0391-1896,.
RIVISTA TRIMESTRALE DI DIRITTO PENALE DELL'ECONOMIA,1121-1725,.
RIVISTA TRIMESTRALE DI DIRITTO PUBBLICO,0557-1464,.
RIVISTA TRIMESTRALE DI DIRITTO TRIBUTARIO,2280-1332,.
SCHWEIZERISCHE ZEITSCHRIFT FÜR STRAFRECHT,0036-7893,.
SEMINARIOS COMPLUTENSES DE DERECHO ROMANO,1135-7673,.
SOCIAL & LEGAL STUDIES,0964-6639,.
SOCIOLOGIA DEL DIRITTO,0390-0851,.
"STATO, CHIESE E PLURALISMO CONFESSIONALE",1971-8543,.
STUDI SULL'INTEGRAZIONE EUROPEA,1970-0903,.
STUDIA ET DOCUMENTA HISTORIAE ET IURIS,1026-9169,.
TAX LAW REVIEW,0040-0041,.
THE AMERICAN CRIMINAL LAW REVIEW,0164-0364,.
THE AMERICAN JOURNAL OF COMPARATIVE LAW,0002-919X,.
THE AMERICAN JOURNAL OF JURISPRUDENCE,0065-8995,.
THE AMERICAN JOURNAL OF LEGAL HISTORY,0002-9319,.
THE BRITISH YEAR BOOK OF INTERNATIONAL LAW,0068-2691,.
THE CAMBRIDGE LAW JOURNAL,0008-1973,.
THE CAMBRIDGE YEARBOOK OF EUROPEAN LEGAL STUDIES,1528-8870,.
THE CANADIAN JOURNAL OF LAW AND JURISPRUDENCE,0841-8209,.
THE CARDOZO ELECTRONIC LAW BULLETIN,1128-322X,.
THE COLUMBIA JOURNAL OF EUROPEAN LAW,1076-6715,.
THE CRIMINAL LAW REVIEW,0011-135X,.
THE INTERNATIONAL AND COMPARATIVE LAW QUARTERLY,0020-5893,.
THE JOURNAL OF COMPARATIVE LAW,1477-0814,.
THE JOURNAL OF LEGAL HISTORY,0144-0365,.
THE JURIST,0022-6858,.
THE JURIST,2326-6236,.
THE LAW QUARTERLY REVIEW,0023-933X,.
THE MODERN LAW REVIEW,0026-7961,.
THE NEW JOURNAL OF EUROPEAN CRIMINAL LAW,2032-2844,.
TIJDSCHRIFT VOOR RECHTSGESCHIEDENIS,0040-7585,.
TRANSNATIONAL LEGAL THEORY,2041-4005,.
UNIFORM LAW REVIEW,1124-3694,.
UNIVERSITY OF PENNSYLVANIA JOURNAL OF INTERNATIONAL ECONOMIC LAW,1086-7872,.
VERBRAUCHER UND RECHT,0930-8369,.
WORLD COMPETITION,1011-4548,.
YEARBOOK OF EUROPEAN LAW,0263-3264,.
ZEITSCHRIFT DER SAVIGNY-STIFTUNG FUER RECHTSGESCHICHTE. GERMANISTISCHE ABTEILUNG,0323-4045,.
ZEITSCHRIFT DER SAVIGNY-STIFTUNG FUER RECHTSGESCHICHTE. KANONISTISCHE ABTEILUNG,0323-4142,.
